title,company,location,date,job_link,description,search_keyword
(Senior) Python Backend Developer,Scope Merge,"Tunis, Tunis, Tunisia",2026-02-10,https://tn.linkedin.com/jobs/view/senior-python-backend-developer-at-scope-merge-4370943991?position=1&pageNum=0&refId=vGBzXi8tYQTungcyjZRpBw%3D%3D&trackingId=L5HhFBY5VRnwM%2FI%2B5j6PWA%3D%3D,"We are hiring a Python Backend Developer to join a small, product-focused team at a fast-growing fintech startup that is redefining how people plan their financial futures. You will work on real digital products with visible impact, in a team that values initiative, ownership, and collaboration.",python developer
Développeur Senior Python,UMANLINK GROUP,"Tunis, Tunis, Tunisia",2026-02-13,https://tn.linkedin.com/jobs/view/d%C3%A9veloppeur-senior-python-at-umanlink-group-4364193264?position=2&pageNum=0&refId=vGBzXi8tYQTungcyjZRpBw%3D%3D&trackingId=YzyHQURI2kLPupMhzFARAw%3D%3D,"Umanlink Group Carrière Développeur Senior Python

Lieu : Tunis

Expérience : minimum 5 ans

Type de contrat : CDI / Freelance

Intégrez une équipe passionnée où innovation et technologie riment avec impact. Vous travaillerez sur des solutions captivantes, avec des selon les projets. Développez vos compétences dans un environnement dynamique et stimulant.

















Déposer votre candidature

Année(s) d'expérience12345Plus que 5

Comment avez-vous entendu parler de nous ?

FacebookLinkedInKeejobSite WebCooptationAutre canal

Δ",python developer
Software Full Stack Developer,KPMG Tunisia,"Tunis, Tunis, Tunisia",2026-02-15,https://tn.linkedin.com/jobs/view/software-full-stack-developer-at-kpmg-tunisia-4368713957?position=3&pageNum=0&refId=vGBzXi8tYQTungcyjZRpBw%3D%3D&trackingId=0EmmRH%2BXOieTeXJ16T4jTw%3D%3D,"Vos Challenges

Face à des enjeux d’évolution du marché et de transformation de nos process internes, les activités majeures du Cabinet que sont l’Audit et l’Advisory ont besoin de s’appuyer sur une expertise forte en solution digitale.

Le Software Full Stack Developer aura à sa charge de :


Votre Profil



Titulaire d’un Master ou d’un diplôme d’Ingénieur (H/F), avec au moins 3 ans d’expérience.

Stack technique :



Méthodologies & outils :



Votre environnement de travail

A propos de KPMG :



Modalités de travail :



N'attendez plus, rejoignez un environnement de travail de qualité où le sens du collectif est clé.",python developer
Ingénieur Fullstack Python/React – MCO & Documentation (H/F),Amaris Consulting,"Tunis, Tunisia",2026-02-04,https://tn.linkedin.com/jobs/view/ing%C3%A9nieur-fullstack-python-react-%E2%80%93-mco-documentation-h-f-at-amaris-consulting-4369204706?position=4&pageNum=0&refId=vGBzXi8tYQTungcyjZRpBw%3D%3D&trackingId=EIbeCyOvWqxOl19R%2F62vLQ%3D%3D,"Job Description

Nous recherchons un Ingénieur Fullstack Python (6-9 ans d’expérience) pour assurer le et la une suite de solutions d’analyse documentaire par IA générative.











































Aimant relever des défis au quotidien, vous savez travailler en autonomie et être force de proposition auprès de vos interlocuteurs afin d’apporter une valeur ajoutée à vos projets. Grâce à un management de proximité et une politique RH personnalisée, vous serez accompagné dans la construction de votre parcours au sein de l'entreprise. Vos qualités relationnelles seront des atouts importants pour réussir dans la fonction et évoluer au sein de notre groupe.

Vous souhaitez intégrer une équipe dynamique et innovante ?

Alors rejoignez-nous",python developer
Full Stack Developer JS - EdTech,Paradox EN,Tunisia,2025-12-30,https://tn.linkedin.com/jobs/view/full-stack-developer-js-edtech-at-paradox-en-4346701907?position=5&pageNum=0&refId=vGBzXi8tYQTungcyjZRpBw%3D%3D&trackingId=RNa%2FjQjtHBGwxPz8Ip9kNg%3D%3D,"Wait a minute.

Are you inspired by building a pioneering EdTech company that will empower millions of people? Do you dream of creating cutting-edge web applications that seamlessly combine AI, UX/UI excellence, and scalability to create transformative learning experiences at scale ?

Are you inspired to work hard, really hard to revolutionize education, innovate with AI, VR, wearables and impact people's lives ?









You don’t want to just code… Education and/or personal development inspires you.



You’ll work hard, innovate fearlessly, and grow with us as we strive to make Paradox an iconic brand that changes lives worldwide.

For us, being Iconic is to innovate at the intersection of Psychology x Creativity x Technology.

You'll work closely with our founding team to define our technical vision.





YOUR MISSION 🚀

will be to take Paradox’s online learning experience to the next level by building the new Paradox App, a state-of-the-art application that integrates AI, delivers an unparalleled user experience. You will be THE key player in creating an online learning management system that can handle several cohorts of hundreds of students at the same time and scales effortlessly to support thousands of students.

Our sources of inspiration are Apple, Nike, Spotify, Disney for their obsession of excelling, having a worldwide impact and not just selling products but

You will be playing a pivotal role in making Paradox play at that level and becoming an iconic brand.

To do so, here are your 5 responsibilities :

1 | BUILD & INNOVATE



2 | SCALABILITY & PERFORMANCE



3 | USER CENTERED DESIGN



4 | PROBLEM SOLVING & TROUBLESHOOTING



5 | COLLABORATION & COMMUNICATION



DO YOU RECOGNIZE YOURSELF? 😍













IT MIGHT NOT BE FOR YOU 🙅‍♀️

Let’s be clear, we are looking for someone who is not just Great, and for whom Paradox ambition isn’t just another cool project; but a true mission.

So if those personal development / coaching / professional growth / education / edtech / teaching / edutainment

Let’s forget about it also if,



🤩 JOIN US IF YOU CRAVE



🏅 We hire only the best, it’s exhilarating to be surroundedwho strive to perform whilst being in a good mood. You'll be working with some of the best minds. We understand that ""A"" people attract ""A"" people.

🏋️‍♀️ but ongoing conversations to support your professional development.

⚡️ Being part of an with a lot of growth opportunities.



🦄 whose content and products are enjoyed by millions of people







😎 based on autonomy & accountability

🗽

🌎 from day one with the freedom to work from wherever you want

🏤 you’re at home worldwide

paid by the company, if you live far from our offices

💻

🏀

📚 (books, education): we are passionate about learning and want to support your growth)

🤝 : a Paradox coach supporting you personally or professionally to live your best life

✈️



HIRING PROCESS 📃

That job description resonated with you?





with , our Talent Manager, to tell you more about the challenge and see if it fits with your experience and expectations,

💻 with to dive deeper into your technical skills, see how we can match your desires with our needs and for you both to understand how you could fit in Paradox’s social media team.

💻A Technical test, you will present to so we can learn more about your technical choices and understand if we can write the success story together.

💻with - our culture coach - to check in depth the alignment between you and our values and culture

💼 to get in-depth insights about how you work in different environments, make your onboarding easier, and give everybody on the team the insurance to be surrounded by A-Players.





Our recruitment process is tailored to do our best to avoid that you or us realize that we’re not a perfect fit. Every step serves a purpose and will allow us to get to know you better as much as it’ll help you understand more where you’ll be stepping in.

We also want you to have time to ask all of your questions regarding the mission, the long-term vision of your team and the company, our values, with the relevant interlocutor in front of you.

But maybe YOU WONDER WHAT’S OUR STORY ? 😉

At Paradox, we are convinced that people do not want “just a job” anymore.

We are all craving to have an impact through our professional journey. Some want to start their own venture, some want to become an intrapreneur in their current organization, some others just want their day-to-day tasks to have more meaning.



But where do we start?

If you have an interest in personal development, you probably already know that:



It needs to change, and we’re here to make it happen!



In other words, we want to make personal growth

How, you might be wondering?



From one well-known Founder to a team of +45 people today (and counting!), this approach has paid off and enabled us to exceed 2 million followers on social networks, and to have thousands of people attending our online events and training courses.",python developer
DEVELOPPEUR FULL STACK SENIOR,RED TIC,"Tunis, Tunis, Tunisia",2025-12-17,https://tn.linkedin.com/jobs/view/developpeur-full-stack-senior-at-red-tic-4344481648?position=6&pageNum=0&refId=vGBzXi8tYQTungcyjZRpBw%3D%3D&trackingId=8w%2Bh1vWt3jrLbuMTMPOtDA%3D%3D,"CDD
Tunis
Publié il y a 2 mois

RED TIC recherche un pour concevoir, développer et maintenir des applications performantes et évolutives. Vous interviendrez sur l’ensemble de la chaîne de valeur, du cadrage technique à la mise en production, en apportant votre expertise pour garantir la qualité, la sécurité et la scalabilité des solutions.









management training sourcing job jobs offer internship morocco africa java développement developpement développeur developpeur informatique application it jee android consultant devops fullstack. D’abord. Tout d’abord. En premier lieu. Ensuite, de plus. Finalement. En outre. Par ailleurs. En dernier lieu. enfin. D’abord, En premier lieu, Pour commencer, Premièrement, En conclusions ur conclure, Enfn, Finalement, En dernier lieu, bien que. il y a aussi il est vrai que… mais. tout en reconnaissant que… on peut supposer que. Par exemple . En fait . Prenons le cas de. Considérons, par exemple. L’exemple le plus r. Cependant. Mais. Pourtant. Toutefois. Néanmoins. Contraste. Alors que. Tandis que. Par contre. En revanche

Nom et Prénom

Adresse Email

Mobile

Niveau d étude

Bac Bac +1 Bac +2 Bac +3 Bac +4 Bac +5 Bac + X

Années d’Expérience

0 +1 +2 +3 +4 +5 +6 +7 +8 +9 + 10

Préavis

Disponible immédiatement -1 mois 1 mois 2 mois +2 mois

Message

Upload CV

Téléverser votre CV ou tout autre document relatif. Taille max: 2 MB.

Consentement à la conservation des données

J’accepte que mes données personnelles et mon CV soient collectés et conservés par RED TIC pour être recontacté(e) au sujet de cette offre ou d’autres opportunités correspondant à mon profil.",python developer
Full-Stack Engineer (Web & APIs),The Flex,"Tunis, Tunis, Tunisia",2026-01-29,https://tn.linkedin.com/jobs/view/full-stack-engineer-web-apis-at-the-flex-4367302212?position=7&pageNum=0&refId=vGBzXi8tYQTungcyjZRpBw%3D%3D&trackingId=s6OkXxP5h7XWyMvh6XmAmQ%3D%3D,"At The Flex, we believe renting a home should feel instant, intelligent, and effortless — as seamless as booking a ride.

Our ambition is bold: enabling anyone to live anywhere, anytime, without friction.

Powered by , our proprietary automation engine, we are building the operating system for modern renting — connecting property data, orchestrating operations, and enabling seamless stays across continents.

If you’re energized by , this is your opportunity to shape how millions of people move, live, and experience the world.

💡 What You’ll Build

As a , you will design, build, and scale the core web applications and APIs behind The Flex platform — powering instant bookings, intelligent access, automated workflows, and predictive operations.

You will work end-to-end across , turning complex operational challenges into clean, scalable, API-first systems.

You won’t just ship features.

You’ll create leverage, unlock automation, and architect the foundation of an intelligent, global rental ecosystem.

⚙️ Your Mission



Develop fast, reliable, and scalable web applications and APIs that power bookings, payments, availability, and guest experiences.



Architect robust, well-documented APIs that connect Base360.ai to internal tools and external partners.



Build event-driven services and automated workflows that eliminate manual operations across the business.



Deliver high-impact integrations with partners such as Airbnb, Stripe, Hostaway, and Twilio.



Ship and maintain serverless infrastructure on AWS, optimized for speed, resilience, and global scale.



Tackle real-time booking synchronization, pricing intelligence, keyless access logic, AI-powered alerts, and live operational dashboards.



Collaborate closely with product, data, and operations teams to turn ideas into measurable, real-world impact.

🧠 You’re a Great Fit If You Have



🌍 Why You’ll Love Working Here



Your work will power thousands of stays and help redefine a multi-trillion-pound industry.



Minimal bureaucracy, high trust, and the chance to build foundational systems from day one.



Fast iteration, continuous learning, and a culture that values technical excellence.



Competitive compensation with meaningful upside for exceptional contributors.



Work from anywhere — we measure outcomes, not hours.

🚫 This Role Is Not for You If",python developer
Java Full Stack Engineer FS,Yassir,"Tunis, Tunisia",2025-08-13,https://tn.linkedin.com/jobs/view/java-full-stack-engineer-fs-at-yassir-4284472681?position=8&pageNum=0&refId=vGBzXi8tYQTungcyjZRpBw%3D%3D&trackingId=ViBMP9kST2CLgr9IdochcQ%3D%3D,"Yassir is the leading super App in the Maghreb region set to changing the way daily services are provided. It currently operates in 45 cities across Algeria, Morocco and Tunisia with recent expansions into France, Canada and Sub-Saharan Africa. It is backed (:$200M in funding) by VCs from Silicon Valley, Europe and other parts of the world.

We offer on-demand services such as ride-hailing and last-mile delivery. Building on this infrastructure, we are now introducing financial services to help our users pay, save and borrow digitally.

Helping usher the continent into a digital economy era. We’re not just about serving people - we’re about creating a marketplace to bring people what they need while infusing social values.
















At Yassir, we believe in the power of diversity and the importance of an inclusive culture. So, if you're ready to bring your unique perspective and experiences to the table, then we're excited to listen.

Don't just apply for a job, come and be a part of our journey. Let's create a better tomorrow together.

We look forward to receiving your application!

Best of luck,

Your Yassir TA Team

We may use artificial intelligence (AI) tools to support parts of the hiring process, such as reviewing applications, analyzing resumes, or assessing responses. These tools assist our recruitment team but do not replace human judgment. Final hiring decisions are ultimately made by humans. If you would like more information about how your data is processed, please contact us.",python developer
Senior Back-End JS Engineer,CobbleWeb - The Online Marketplace Experts,Grand Tunis Metropolitan Area,2025-08-06,https://tn.linkedin.com/jobs/view/senior-back-end-js-engineer-at-cobbleweb-the-online-marketplace-experts-4280974476?position=9&pageNum=0&refId=vGBzXi8tYQTungcyjZRpBw%3D%3D&trackingId=4vw559IPQBjgRtUncshjGg%3D%3D,"This position is 100% remote.

What are we looking for?







But don’t take our word for it.",python developer
Développeur Full Stack Web Senior,UMANLINK GROUP,"Tunis, Tunis, Tunisia",2026-02-13,https://tn.linkedin.com/jobs/view/d%C3%A9veloppeur-full-stack-web-senior-at-umanlink-group-4363976698?position=10&pageNum=0&refId=vGBzXi8tYQTungcyjZRpBw%3D%3D&trackingId=3tTcypEtGMmIHYiRY47mFA%3D%3D,"Umanlink Group Carrière Développeur Full Stack Web Senior

Lieu : Tunis

Expérience : minimum 5 ans

Type de contrat : CDI / Freelance

Rejoignez une équipe de et bénéficiez de , avec des . Travaillez sur des solutions innovantes en utilisant des technologies à la pointe, tout en profitant de la .

















Déposer votre candidature

Année(s) d'expérience12345Plus que 5

Comment avez-vous entendu parler de nous ?

FacebookLinkedInKeejobSite WebCooptationAutre canal

Δ",python developer
