domain,num_jobs,unique_skills,top_10_skills,top_20_skills
Software Engineering,195,20,"ci/cd, docker, python, devops, security, kubernetes, ai, algorithms, git, rest","ci/cd, docker, python, devops, security, kubernetes, ai, algorithms, git, rest, azure, version control, aws, sql, databases, machine learning, postgresql, jira, scalability, github"
Developer Développeur,166,20,"ci/cd, python, angular, rest, devops, git, aws, java, jira, kubernetes","ci/cd, python, angular, rest, devops, git, aws, java, jira, kubernetes, javascript, docker, interfaces, sql, mysql, digital transformation, security, version control, scrum, html"
Ingénieur Technicien,120,20,"devops, linux, ai, python, azure, ci/cd, troubleshooting, aws, docker, saas","devops, linux, ai, python, azure, ci/cd, troubleshooting, aws, docker, saas, sql, nosql, computing, bash, scripting, databases, rest, tensorflow, pytorch, gcp"
Manager Management,91,20,"ci/cd, jira, crm, scrum, scalability, data entry, devops, contingency, sdlc, software services","ci/cd, jira, crm, scrum, scalability, data entry, devops, contingency, sdlc, software services, business systems, networking, servers, security management, performance management, consulting, escalation, saas, go, version control"
IT Consulting & ERP,74,20,"saas, dashboards, troubleshooting, crm, acceptance, sql, spark, data integrity, ai, opt","saas, dashboards, troubleshooting, crm, acceptance, sql, spark, data integrity, ai, opt, interfaces, user, user support, datasets, security, data documentation, metadata, statistics, python, data cleaning"
Specialist Product,69,20,"ai, crm, javascript, saas, analytical skills, cms, troubleshooting, python, user experience, security","ai, crm, javascript, saas, analytical skills, cms, troubleshooting, python, user experience, security, capacity planning, spark, escalation, ##m, application data, jira, ops, financial, data mapping, report generation"
Data Science & ML,44,20,"machine learning, python, deep learning, nlp, tensorflow, pytorch, azure, sql, ai, pandas","machine learning, python, deep learning, nlp, tensorflow, pytorch, azure, sql, ai, pandas, scikit - learn, nosql, matplotlib, llms, mlops, devops, computer vision, image, object detection, cloud services"
Data & Business Analysis,44,20,"azure, sql, modeling, vulnerability, aws, security, tableau, python, gcp, firewalls","azure, sql, modeling, vulnerability, aws, security, tableau, python, gcp, firewalls, devops, patch management, cybersecurity, scrum, statistical, unstructured, datasets, technical requirements, dashboards, orthopedics"
Project Management,39,20,"ai, security, scrum, java, devops, crm, jira, python, c + +, uml","ai, security, scrum, java, devops, crm, jira, python, c + +, uml, design patterns, web services, rest, machine learning, deep learning, postgresql, mysql, git, docker, jenkins"
Commercial Chargé(E),36,17,"ci/cd, machine learning, php, symfony, python, java, spring boot, angular, flask, jira","ci/cd, machine learning, php, symfony, python, java, spring boot, angular, flask, jira, gitlab, docker, kubernetes, saas, interfaces, wordpress, rest"
Design & Graphics,34,20,"ux, design principles, ai, html, mockups, css, scripting, ci/cd, graphic, after","ux, design principles, ai, html, mockups, css, scripting, ci/cd, graphic, after, typography, usability, user experience, interfaces, multimedia, fm, video, rest, ##graphy, graphics"
Responsable Safran,29,20,"devops, azure, ci/cd, networking, aws, performance analyses, oversight, servers, cloud systems, disaster recovery","devops, azure, ci/cd, networking, aws, performance analyses, oversight, servers, cloud systems, disaster recovery, virtualization, operating systems, linux, cybersecurity, firewalls, machine learning, ml, php, mage, html"
Administrator Network,26,20,"security, linux, network infrastructure, firewalls, wifi, ansible, terraform, python, hybrid, cloud","security, linux, network infrastructure, firewalls, wifi, ansible, terraform, python, hybrid, cloud, networking, network monitoring, grafana, root, routing, azure, aws, inform, java, devops"
Tech Java,16,20,"crm, mysql, project managers, python, ##ap, spring boot, pytorch, tensorflow, langchain, kotlin","crm, mysql, project managers, python, ##ap, spring boot, pytorch, tensorflow, langchain, kotlin, javascript, node. js, next, angular, flutter, mongodb, rest, graphql, postgresql, nosql"
Marketing Video,16,20,"digital transformation, azure, cybersecurity, ai, crm, go, seo, ##ati, machine learning, deep learning","digital transformation, azure, cybersecurity, ai, crm, go, seo, ##ati, machine learning, deep learning, dataset, nlp, prediction, chatbots, python, tensorflow, pytorch, github, lang, docker"
Special Projects & Internships,15,20,"cybersecurity, javascript, php, crm, dashboards, business systems, digital operations, process design, modeling, digital transformation","cybersecurity, javascript, php, crm, dashboards, business systems, digital operations, process design, modeling, digital transformation, jira, css, analytics, laravel, interfaces, html5, css3, bootstrap, github, opt"
Buyer Project,15,17,"mitigation, sustainability, dashboards, ##cc, analytical skills, project documentation, ai, project tracking, spark, crm","mitigation, sustainability, dashboards, ##cc, analytical skills, project documentation, ai, project tracking, spark, crm, data integrity, materials, tableau, demand, netsuite, analytical, data handling"
